Location ID,10/12 Usage,11/12 Usage,12/12 Usage,1/13 Usage,2/13 Usage,3/13 Usage,4/13 Usage,5/13 Usage,6/13 Usage,7/13 Usage,8/13 Usage,9/13 Usage,Service Address
67820,3,7,5,5,5,4,4,6,5,6,6,5,805 NORWALK DR 
67824,7,8,6,11,7,7,5,7,4,5,6,4,801 NORWALK DR
67826,2,1,2,1,3,0,1,2,1,1,3,3,809 NORWALK DR
67828,2,4,2,3,4,1,2,3,4,3,1,3,810 SANDY CT
67832,5,8,5,4,0,5,5,6,6,13,13,10,2301 LICHFIELD DR
67834,4,4,3,5,5,4,4,2,1,2,2,1,2303 LICHFIELD DR
67836,4,3,2,2,4,0,2,3,2,3,2,3,2205 BALDWIN PL
67842,5,5,5,2,4,7,5,5,4,5,5,5,305 N GARTH AVE
67848,2,1,1,1,1,1,2,1,1,1,2,1,317 N GARTH AVE
67850,6,3,3,5,5,5,4,6,1,3,3,3,319 N GARTH AVE APT
67852,6,6,7,6,6,10,9,10,9,8,7,10,319 N GARTH AVE APT
67854,2,0,2,0,4,4,4,4,3,4,3,4,319 N GARTH AVE APT C
67856,2,0,0,0,3,1,2,3,2,2,3,2,319 N GARTH AVE APT
67858,3,2,4,0,3,1,3,3,4,4,4,2,319 N GARTH AVE APT
67860,1,1,0,0,3,8,5,6,1,1,2,2,319 N GARTH AVE APT
67862,9,11,6,3,5,20,4,10,7,7,9,10,319 N GARTH AVE APT G
67864,1,2,1,4,1,2,3,2,1,2,1,2,405 N GARTH AVE APT
67866,3,3,2,5,5,0,2,3,4,2,4,4,405 N GARTH AVE APT
67868,4,5,3,6,5,2,3,5,2,6,2,2,405 N GARTH AVE APT
67870,2,3,1,3,4,0,2,2,1,2,1,3,405 N GARTH AVE APT D
67872,3,3,3,4,4,10,3,5,5,3,8,16,405 N GARTH AVE APT
67874,2,3,2,2,4,0,3,2,0,0,1,1,405 N GARTH AVE APT
67876,6,6,6,7,6,6,5,8,6,7,6,7,405 N GARTH AVE APT G
67878,6,5,6,3,4,3,4,4,1,1,2,1,405 N GARTH AVE APT
67880,4,3,3,3,4,2,2,4,2,3,3,3,405 N GARTH AVE APT J
67882,0,0,4,6,5,5,4,6,4,5,5,5,405 N GARTH AVE APT K
67884,4,3,2,3,4,2,3,4,3,2,4,0,405 N GARTH AVE APT
67886,3,3,4,3,4,4,3,5,3,4,3,4,405 N GARTH AVE APT M
67890,0,0,0,0,0,0,0,0,0,0,0,0,409 N GARTH AVE 
67896,6,5,0,0,0,0,0,0,0,0,3,5,102 W WORLEY ST
67898,4,4,3,4,4,3,3,4,3,4,4,5,104 W WORLEY ST 
67900,6,8,8,7,6,6,8,8,5,6,5,6,106 W WORLEY ST 
67902,2,5,5,5,5,5,5,7,3,3,4,5,112 W WORLEY ST 
67904,8,8,6,9,7,8,7,9,6,7,8,5,114 W WORLEY ST 
67908,13,10,10,10,8,10,10,13,9,11,8,13,418 OAK ST 
67910,3,4,6,5,5,2,5,3,4,4,4,5,416 OAK ST
67912,4,4,1,8,6,4,3,5,3,3,2,2,414 OAK ST
67914,5,5,5,6,5,5,7,4,4,3,5,2,410 OAK ST
67916,0,0,0,11,0,0,0,0,0,0,0,0,408 OAK ST 
67918,9,12,7,11,8,8,9,11,15,8,19,13,404 OAK ST
67924,3,4,4,4,5,3,3,5,3,4,4,4,312 OAK ST 
67928,4,3,4,4,4,3,3,3,4,4,3,4,310 OAK ST
67932,11,14,8,12,8,14,9,13,12,13,40,8,306 OAK ST 
67934,9,9,8,9,7,10,8,10,10,14,12,12,304 OAK ST
67936,9,9,8,8,7,9,7,10,14,25,22,27,109 OAK ST
67938,6,4,4,6,5,5,4,6,5,5,6,5,107 OAK ST
67940,1,2,5,7,6,7,6,10,9,7,7,10,102 OAK ST
67942,3,4,3,4,4,1,2,4,4,0,7,0,104 OAK ST 
67944,5,2,3,3,4,1,3,3,3,3,3,2,106 OAK ST 
67946,4,4,3,3,4,0,2,3,3,3,3,3,108 OAK ST 
67950,6,7,4,5,5,3,4,5,6,4,5,5,112 OAK ST APT
67952,4,4,3,2,4,3,4,9,0,6,4,5,112 OAK ST APT 2B
67956,10,11,9,11,8,11,8,10,10,11,9,10,114 OAK ST
67962,3,2,3,3,4,1,2,4,3,5,4,7,307 OAK ST
67964,3,3,4,2,4,0,3,2,2,3,3,3,311 OAK ST 
68042,4,3,4,3,4,1,3,2,3,2,7,6,409 OAK ST 
68044,5,6,5,4,5,2,4,5,3,6,7,7,411 OAK ST
68046,4,0,18,6,5,7,2,8,8,0,15,9,413 OAK ST 
68112,15,19,11,7,7,4,5,7,7,10,7,9,204 W WORLEY ST
68118,3,4,1,3,4,0,3,4,3,3,5,8,212 W WORLEY ST 
68120,4,5,4,2,1,5,3,4,4,5,4,2,214 W WORLEY ST
68122,15,14,14,17,11,19,15,21,19,23,24,25,420 MCBAINE AVE 
68124,0,0,0,0,0,0,0,4,5,5,4,4,418 MCBAINE AVE 
68132,4,5,3,3,4,2,3,3,3,4,3,3,402 MCBAINE AVE 
68134,11,12,10,15,9,15,11,15,12,12,11,14,400 MCBAINE AVE
68140,27,23,18,20,12,16,14,11,7,12,8,11,300 MCBAINE AVE 
68142,4,5,4,8,6,5,3,4,3,4,5,6,216 MCBAINE AVE
68144,4,4,4,3,4,1,2,3,4,4,3,4,214 MCBAINE AVE 
68148,12,11,11,13,9,3,4,6,3,2,7,5,210 MCBAINE AVE 
68150,5,5,4,1,3,8,3,4,3,5,3,4,215 W ASH ST 
68192,10,8,8,10,1,6,0,0,0,1,10,15,113 W ASH ST
68194,2,0,0,0,0,0,0,0,0,1,1,0,113 W ASH ST APT
68196,0,0,0,1,1,0,0,1,3,2,1,1,111 W ASH ST APT A
68198,1,1,0,1,1,1,0,1,1,1,0,1,111 W ASH ST APT
68206,5,8,6,5,5,3,2,5,7,9,5,8,209 N GARTH AVE 
68208,3,2,7,6,5,7,12,2,0,8,3,3,213 N GARTH AVE 
68210,1,1,2,1,1,2,1,1,1,2,1,2,207 MCBAINE AVE
68212,1,2,1,1,1,1,2,1,1,1,1,2,209 MCBAINE AVE
68214,6,7,9,4,7,6,6,8,8,9,8,10,211 MCBAINE AVE 
68216,1,0,0,0,1,0,0,0,0,0,1,0,213 MCBAINE AVE
68218,5,4,5,5,5,3,4,5,3,4,4,4,215 MCBAINE AVE
68232,7,8,13,20,11,21,14,17,12,13,12,7,301 MCBAINE AVE
68234,19,2,0,1,0,3,1,3,2,2,3,3,303 MCBAINE AVE 
68236,3,3,2,3,4,1,2,2,2,3,2,2,305 MCBAINE AVE
68238,5,7,6,9,7,7,5,8,5,7,7,6,307 MCBAINE AVE 
68240,6,8,6,9,7,6,6,8,8,10,7,9,309 MCBAINE AVE
68242,29,22,16,18,12,19,13,17,15,21,16,15,311 MCBAINE AVE 
68244,4,6,4,6,5,4,4,4,3,0,7,3,315 MCBAINE AVE 
68246,9,10,10,9,9,11,9,11,10,15,19,13,401 MCBAINE AVE 
68248,19,19,15,21,12,25,16,18,12,13,10,12,403 MCBAINE AVE 
68250,11,21,14,16,10,19,12,14,13,14,14,14,405 MCBAINE AVE
68252,1,2,1,1,3,1,1,1,0,1,2,2,407 MCBAINE AVE 
68254,5,0,10,0,11,1,0,3,2,2,4,4,411 MCBAINE AVE
68256,2,0,1,1,1,1,2,1,0,1,0,1,413 MCBAINE AVE
68258,3,3,5,1,3,1,3,2,3,3,2,3,415 MCBAINE AVE
68260,2,5,2,4,5,1,2,4,2,3,4,3,300 W WORLEY ST 
68262,8,12,9,6,6,0,2,2,2,1,0,4,302 W WORLEY ST
68264,5,6,5,6,5,7,5,0,9,6,4,4,304 W WORLEY ST 
68266,8,0,0,0,0,0,0,1,1,2,1,3,306 W WORLEY ST 
68270,0,0,0,0,0,0,0,0,0,0,0,0,310 W WORLEY ST 
68272,12,15,13,13,9,20,14,20,14,16,14,11,312 W WORLEY ST 
68274,1,2,0,2,1,1,1,1,1,2,1,3,424 ALEXANDER AVE
68276,3,2,3,3,4,1,2,2,3,9,6,0,422 ALEXANDER AVE 
68278,1,2,3,2,2,0,2,5,4,4,3,5,420 ALEXANDER AVE 
68280,4,3,4,2,4,2,3,3,3,6,2,3,418 ALEXANDER AVE
68282,1,1,0,1,0,1,0,1,1,1,0,1,416 ALEXANDER AVE 
68284,3,4,3,3,4,2,3,3,4,3,4,4,414 ALEXANDER AVE
68286,1,2,1,1,1,1,1,2,1,1,1,2,412 ALEXANDER AVE 
68292,0,0,0,0,0,0,0,0,0,0,0,0,406 ALEXANDER AVE 
68294,2,4,3,2,4,1,3,1,3,5,0,3,404 ALEXANDER AVE 
68296,4,0,2,7,5,4,4,6,6,17,4,19,402 ALEXANDER AVE 
68298,8,9,6,10,7,5,6,8,7,8,6,8,400 ALEXANDER AVE
68300,2,1,2,1,1,1,2,1,2,2,3,5,310 ALEXANDER AVE
68302,0,2,4,5,5,6,9,8,11,7,8,8,308 ALEXANDER AVE
68304,2,1,2,2,4,0,1,3,2,2,2,2,306 ALEXANDER AVE 
68306,2,1,2,2,1,2,2,2,1,2,2,2,304 ALEXANDER AVE
68308,23,18,12,13,9,13,10,13,11,11,8,11,302 ALEXANDER AVE 
68310,11,11,7,13,8,10,8,12,15,23,20,16,300 ALEXANDER AVE 
68312,6,4,4,6,5,2,5,5,4,4,6,6,212 ALEXANDER AVE 
68314,2,2,1,2,3,0,4,2,1,4,4,3,210 ALEXANDER AVE 
68316,4,3,3,4,3,3,3,4,0,5,3,3,208 ALEXANDER AVE 
